Ref ID,Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),Development Status,Development Status (short),County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Under Construction,Operational,Solar Site Area (sqm),development_status_clean
6133,NESF (formerly Lark Energy),Land East of Horton Road ,Solar Photovoltaics,4.90,Operational,Operational,Northamptonshire,East Midlands,England,NN7 1DN,482438,257043,West Northamptonshire,31/01/2016,07/07/2017,,operational
6134,Stream Bioenergy,Tully Quarry,Anaerobic Digestion,3.00,Operational,Operational,Co. Antrim,Northern Ireland,Northern Ireland,BT42 3HJ,130509,557223,Mid and East Antrim,21/06/2016,01/07/2017,,operational
6136,Grupo Cobra,Kincardine Offshore Windfarm,Wind Offshore,49.50,Operational,Operational,Offshore,Offshore,Scotland,,407766,789575,Marine Scotland,01/10/2018,19/10/2021,,operational
6138,Glennon Brothers Troon,Harbour Road,Biomass (dedicated),2.60,Operational,Operational,South Ayrshire,Scotland,Scotland,KA10 6DX,230930,631425,South Ayrshire,15/08/2016,18/03/2017,,operational
6161,Thames Water Utilities,Crossness Sewage Works,Sewage Sludge Digestion,5.70,Operational,Operational,London,London,England,SE2 9AR,548777,180312,Bexley,01/06/2015,30/06/2016,,operational
6162,Aldi,Salford Road,Solar Photovoltaics,1.60,Operational,Operational,Greater Manchester,North West,England,BL1 1BT,371832,409339,Bolton,01/06/2016,30/06/2016,,operational
6163,Solar Century,Grove Solar Park (Phase 2),Solar Photovoltaics,11.00,Operational,Operational,Hampshire,South East,England,SO51 9LH,436685,118373,Test Valley,18/01/2016,30/03/2016,,operational
6164,SPEP,Barnsley 1.5 ,Biomass (dedicated),9.00,Operational,Operational,South Yorkshire,Yorkshire and Humber,England,S75 1HT,432245,408040,Barnsley,01/09/2015,06/03/2015,,operational
6165,SPEP,Spalding,Biomass (dedicated),14.50,Operational,Operational,Lincolnshire,East Midlands,England,PE12 6BL,525296,321104,South Holland,01/02/2015,08/07/2015,,operational
6166,SPEP,Balderton,Biomass (dedicated),20.30,Operational,Operational,Nottinghamshire,East Midlands,England,NG24 3BZ,479824,350738,Newark and Sherwood,01/02/2015,08/07/2015,,operational
6167,Guy & Wright Ltd,"The Nurseries, Green Tye",Anaerobic Digestion,1.20,Operational,Operational,Hertfordshire,Eastern,England,SG10 6JJ,544192,218430,East Hertfordshire,15/05/2016,15/06/2016,,operational
